               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.018287,           0.0072009,           0.0017794,             0.97654,              0.9932,              0.9896,             0.89797,           0.0084351,           0.0029509,          0.00079817,           0.0044065,           0.0044065,           0.0044065
                 115,            0.017192,           0.0069749,           0.0013191,             0.97373,             0.99054,             0.98821,             0.89975,           0.0084384,           0.0028846,          0.00073258,            0.004357,            0.004357,            0.004357
                 116,            0.016743,           0.0070413,           0.0014813,              0.9743,             0.98236,             0.98813,             0.89537,           0.0083951,           0.0028965,          0.00096461,           0.0043075,           0.0043075,           0.0043075
                 117,            0.016683,           0.0067002,           0.0027976,             0.98103,              0.9794,             0.98816,             0.89838,           0.0085351,           0.0029012,           0.0010989,            0.004258,            0.004258,            0.004258
                 118,            0.017024,           0.0068344,           0.0021369,             0.97331,             0.98251,             0.98878,             0.90133,           0.0085977,           0.0028525,          0.00090339,           0.0042085,           0.0042085,           0.0042085
                 119,            0.016866,           0.0070474,           0.0019149,             0.98129,             0.97853,             0.98943,              0.9033,           0.0083076,           0.0028664,          0.00085685,            0.004159,            0.004159,            0.004159
                 120,            0.017455,           0.0068975,           0.0018832,             0.98063,             0.97041,             0.98867,             0.89816,           0.0082773,           0.0029146,          0.00084474,           0.0041095,           0.0041095,           0.0041095
                 121,            0.016912,           0.0069279,            0.001325,             0.98433,             0.97736,             0.98879,              0.9003,           0.0081482,           0.0028961,          0.00073323,             0.00406,             0.00406,             0.00406
                 122,            0.015849,           0.0067234,           0.0015775,             0.97336,             0.98529,             0.98984,             0.89664,           0.0081446,           0.0028537,          0.00090212,           0.0040105,           0.0040105,           0.0040105
                 123,            0.016239,           0.0064972,            0.001641,             0.97209,             0.98789,             0.98988,             0.90335,           0.0079119,           0.0028589,          0.00087342,            0.003961,            0.003961,            0.003961
                 124,            0.016799,           0.0068578,           0.0026917,             0.97294,             0.98543,             0.98871,             0.89625,           0.0082902,           0.0028558,          0.00093698,           0.0039115,           0.0039115,           0.0039115
                 125,            0.016297,           0.0068313,           0.0025316,             0.96998,             0.98819,             0.98882,             0.89891,           0.0079765,           0.0028563,          0.00091013,            0.003862,            0.003862,            0.003862
                 126,            0.016331,           0.0067557,           0.0027465,             0.98327,              0.9831,             0.98843,             0.90223,           0.0080496,           0.0029609,          0.00091805,           0.0038125,           0.0038125,           0.0038125
                 127,            0.016085,           0.0064971,           0.0012707,             0.97594,             0.98648,             0.98834,             0.90564,           0.0079418,           0.0028956,          0.00093701,            0.003763,            0.003763,            0.003763
                 128,            0.015495,           0.0069173,           0.0014574,             0.98947,             0.98124,             0.99027,             0.90525,           0.0080522,           0.0028256,           0.0009328,           0.0037135,           0.0037135,           0.0037135
                 129,              0.0159,           0.0066901,           0.0018812,             0.98503,             0.97732,             0.98944,             0.90629,           0.0081357,           0.0028444,          0.00090267,            0.003664,            0.003664,            0.003664
                 130,            0.015173,           0.0065268,           0.0012808,             0.97714,             0.98192,              0.9886,              0.9042,           0.0084038,           0.0028726,          0.00089082,           0.0036145,           0.0036145,           0.0036145
                 131,            0.016785,           0.0068164,           0.0014571,             0.98815,              0.9826,              0.9895,             0.90574,           0.0082906,           0.0028165,          0.00090874,            0.003565,            0.003565,            0.003565
                 132,            0.015374,           0.0064655,           0.0012883,             0.98743,             0.97843,             0.98824,             0.89715,           0.0081885,           0.0028713,          0.00090084,           0.0035155,           0.0035155,           0.0035155
